Date,AB01,AB02,AB03,AB04,AB05,AB06,AB07,AB08,AB09,AB10,SUM 
9-May-11,0,0,0,3,0,0,1,2,4,0,10
10-May-11,0,0,0,0,0,0,0,0,0,0,0
11-May-11,0,0,0,0,1,0,0,3,2,0,6
12-May-11,0,0,0,0,0,0,0,0,0,0,0
13-May-11,0,0,0,0,0,0,0,0,0,0,0
14-May-11,0,0,0,0,0,0,0,0,0,0,0
15-May-11,0,0,0,0,0,0,0,2,0,0,2
16-May-11,0,0,0,0,0,0,0,0,0,0,0
17-May-11,0,1,0,0,0,0,0,0,0,0,1
18-May-11,0,0,0,0,0,0,0,0,0,0,0
19-May-11,0,0,0,0,0,0,0,0,0,0,0
20-May-11,0,0,0,0,0,0,1,1,0,0,2
21-May-11,0,0,0,0,0,0,0,0,0,0,0
22-May-11,0,0,0,0,0,0,0,0,0,0,0
23-May-11,0,0,0,0,0,0,0,0,0,0,0
24-May-11,0,0,0,0,0,0,0,0,0,0,0
25-May-11,0,0,0,0,0,0,0,0,0,0,0
26-May-11,0,0,0,0,0,0,0,0,0,0,0
27-May-11,0,0,0,0,0,1,2,0,1,2,6
28-May-11,0,0,0,0,0,0,3,0,0,2,5
29-May-11,0,0,0,0,0,0,0,0,0,0,0
30-May-11,0,0,0,0,0,0,1,0,0,0,1
31-May-11,0,0,0,0,0,0,0,0,0,2,2
1-Jun-11,0,0,0,0,0,0,0,0,0,0,0
2-Jun-11,0,0,0,0,0,0,0,0,0,0,0
3-Jun-11,0,0,0,0,0,0,0,0,0,0,0
4-Jun-11,0,0,0,0,0,0,0,0,0,0,0
5-Jun-11,0,0,0,0,0,0,0,0,0,0,0
6-Jun-11,0,0,0,0,0,0,0,0,0,1,1
7-Jun-11,0,0,0,0,0,0,0,0,0,0,0
8-Jun-11,0,0,0,0,0,0,0,0,0,0,0
9-Jun-11,0,0,0,0,0,0,0,0,0,0,0
10-Jun-11,0,0,0,0,0,0,0,0,0,0,0
11-Jun-11,0,0,0,0,0,0,0,0,0,0,0
12-Jun-11,0,0,0,0,0,0,0,0,0,0,0
13-Jun-11,0,0,0,0,0,0,0,0,0,0,0
14-Jun-11,0,0,0,0,0,0,0,0,0,0,0
15-Jun-11,0,0,0,0,0,0,0,0,0,0,0
16-Jun-11,0,0,0,0,0,0,0,0,0,0,0
17-Jun-11,0,0,0,0,0,0,0,0,0,0,0
18-Jun-11,0,0,0,0,0,0,0,0,0,0,0
19-Jun-11,0,0,0,0,0,0,0,0,0,0,0
20-Jun-11,0,0,0,0,1,0,0,0,0,1,2
21-Jun-11,0,0,0,0,0,0,0,0,0,0,0
22-Jun-11,0,0,0,0,0,0,0,0,0,0,0
23-Jun-11,0,0,0,0,0,0,0,0,0,0,0
24-Jun-11,0,0,0,0,0,0,0,0,0,0,0
25-Jun-11,0,0,0,0,0,0,0,0,0,0,0
26-Jun-11,0,0,0,0,0,0,0,0,0,0,0
27-Jun-11,0,0,0,0,0,0,0,0,0,0,0
28-Jun-11,0,0,0,0,0,0,0,0,0,0,0
29-Jun-11,0,0,0,0,0,0,0,0,0,0,0
30-Jun-11,0,0,0,0,0,0,0,0,0,0,0
1-Jul-11,0,0,0,0,0,0,0,0,0,0,0
2-Jul-11,0,0,0,0,0,0,0,0,0,0,0
3-Jul-11,0,0,0,0,0,0,0,0,0,0,0
4-Jul-11,0,0,0,0,0,0,0,0,0,0,0
5-Jul-11,0,0,0,0,1,0,0,0,0,0,1
6-Jul-11,0,0,0,0,0,0,1,0,0,0,1
7-Jul-11,0,0,0,0,0,0,0,0,0,1,1
8-Jul-11,0,0,0,0,0,0,0,0,0,0,0
9-Jul-11,0,0,0,0,2,0,0,0,0,0,2
10-Jul-11,0,0,0,0,0,0,2,0,0,0,2
11-Jul-11,0,0,0,0,0,0,0,0,0,0,0
12-Jul-11,0,0,0,0,0,0,1,0,0,0,1
13-Jul-11,0,0,0,0,0,0,8,0,0,0,8
14-Jul-11,0,0,0,1,0,0,0,0,0,0,1
15-Jul-11,0,0,0,0,0,0,0,0,0,0,0
16-Jul-11,0,0,0,0,0,0,0,0,0,0,0
17-Jul-11,0,0,0,0,0,0,1,0,0,0,1
18-Jul-11,0,0,0,0,0,0,0,1,0,0,1
19-Jul-11,0,0,0,0,0,0,0,0,0,0,0
20-Jul-11,0,0,0,0,0,0,0,0,0,0,0
21-Jul-11,0,0,0,0,0,0,0,1,0,3,4
22-Jul-11,0,0,0,0,0,0,4,0,0,1,5
23-Jul-11,0,0,0,0,0,0,5,0,5,13,23
24-Jul-11,0,0,0,0,1,0,10,0,1,0,12
25-Jul-11,0,0,0,0,0,0,0,0,8,1,9
26-Jul-11,0,0,0,0,0,0,0,0,20,8,28
27-Jul-11,0,0,0,0,0,0,2,0,10,13,25
28-Jul-11,0,0,0,0,3,0,1,0,11,4,19
29-Jul-11,0,1,4,5,12,2,0,0,5,7,36
30-Jul-11,0,0,0,0,0,1,0,0,0,2,3
31-Jul-11,0,0,0,0,1,0,1,0,1,2,5
1-Aug-11,0,0,0,0,0,1,0,0,0,0,1
2-Aug-11,0,0,0,0,0,0,0,15,0,0,15
3-Aug-11,0,0,0,0,0,0,0,0,0,1,1
4-Aug-11,0,0,0,0,0,0,0,0,0,0,0
5-Aug-11,0,0,0,0,4,3,0,0,0,0,7
6-Aug-11,0,0,0,0,1,2,3,0,0,0,6
7-Aug-11,0,1,0,0,3,0,6,8,7,2,27
8-Aug-11,0,0,0,0,3,1,8,8,1,0,21
9-Aug-11,0,0,0,0,11,1,4,1,0,0,17
10-Aug-11,0,0,0,0,0,0,1,3,1,0,5
11-Aug-11,0,0,0,0,0,0,1,0,1,0,2
12-Aug-11,0,0,0,0,1,0,0,0,0,0,1
13-Aug-11,0,0,0,0,4,0,0,0,0,0,4
14-Aug-11,0,0,5,2,0,0,1,3,1,0,12
15-Aug-11,0,0,0,0,1,0,1,0,0,0,2
16-Aug-11,0,0,0,0,0,0,0,0,5,1,6
17-Aug-11,0,0,0,0,2,0,0,0,0,0,2
18-Aug-11,0,0,0,0,12,2,5,2,2,2,25
19-Aug-11,0,0,0,0,12,7,11,11,5,5,51
20-Aug-11,0,0,0,1,16,7,9,7,2,0,42
21-Aug-11,0,0,0,0,8,10,9,0,0,0,27
22-Aug-11,0,0,1,2,6,4,1,0,0,0,14
23-Aug-11,0,0,0,0,0,0,0,0,0,0,0
24-Aug-11,0,0,0,0,9,0,0,0,0,5,14
25-Aug-11,0,0,0,0,1,0,0,0,0,0,1
26-Aug-11,0,0,0,0,6,0,1,1,0,0,8
27-Aug-11,0,0,1,0,9,4,1,0,0,0,15
28-Aug-11,0,0,0,0,3,4,2,0,0,0,9
29-Aug-11,0,0,1,4,7,6,9,5,0,0,32
30-Aug-11,0,0,0,1,6,5,4,0,0,0,16
31-Aug-11,0,0,0,0,0,4,12,0,0,0,16
1-Sep-11,2,0,0,2,1,1,13,3,0,0,22
2-Sep-11,0,0,0,0,1,2,0,0,2,0,5
3-Sep-11,0,0,0,0,0,0,0,0,0,1,1
4-Sep-11,0,0,0,0,0,0,0,0,0,0,0
5-Sep-11,0,0,0,0,0,0,11,0,0,0,11
6-Sep-11,0,0,0,0,0,0,0,0,0,0,0
7-Sep-11,0,0,0,4,1,0,0,0,0,0,5
8-Sep-11,0,0,0,0,1,2,0,0,0,0,3
9-Sep-11,0,0,0,0,14,8,7,1,0,0,30
10-Sep-11,0,0,0,0,14,0,13,11,3,0,41
11-Sep-11,0,0,0,0,7,0,14,13,3,3,40
12-Sep-11,0,0,0,0,0,0,0,2,5,2,9
13-Sep-11,0,0,0,1,1,0,9,10,3,1,25
14-Sep-11,0,0,0,0,5,2,2,5,0,0,14
15-Sep-11,0,0,0,0,6,1,5,5,0,0,17
16-Sep-11,0,0,0,0,0,0,0,0,0,0,0
17-Sep-11,0,0,0,0,0,0,0,0,1,0,1
18-Sep-11,0,0,0,0,0,0,0,0,3,0,3
19-Sep-11,0,0,0,0,0,0,0,0,0,1,1
20-Sep-11,0,0,0,0,0,0,0,0,0,0,0
21-Sep-11,0,0,0,0,0,0,0,0,0,0,0
22-Sep-11,0,0,0,0,0,0,0,0,0,0,0
23-Sep-11,0,0,0,0,0,0,0,0,0,0,0
24-Sep-11,0,0,0,0,0,0,0,0,0,0,0
25-Sep-11,0,0,0,0,0,0,0,0,0,0,0
26-Sep-11,0,0,0,0,1,0,0,0,0,0,1
27-Sep-11,0,0,0,0,0,0,0,0,0,0,0
28-Sep-11,0,0,0,0,0,0,0,0,0,0,0
29-Sep-11,0,0,0,0,0,0,0,0,0,0,0
30-Sep-11,0,0,0,0,0,0,0,0,0,0,0
1-Oct-11,0,0,0,0,3,0,2,0,0,0,5
2-Oct-11,0,0,0,0,0,1,0,0,0,0,1
3-Oct-11,0,0,0,0,0,0,0,3,0,0,3
4-Oct-11,0,0,0,0,0,0,0,0,0,0,0
5-Oct-11,0,0,0,0,2,5,5,5,1,0,18
6-Oct-11,0,0,0,0,2,1,8,4,0,0,15
7-Oct-11,0,0,0,0,0,0,2,0,0,0,2
8-Oct-11,0,0,0,0,6,4,3,0,0,0,13
9-Oct-11,0,0,0,0,6,9,11,3,0,7,36
10-Oct-11,0,0,0,0,0,0,0,0,0,0,0
11-Oct-11,0,0,0,0,0,0,0,0,0,0,0
12-Oct-11,0,0,0,0,0,0,1,0,0,0,1
13-Oct-11,0,0,0,0,0,0,0,0,0,0,0
14-Oct-11,0,0,0,0,1,0,3,2,0,0,6
15-Oct-11,0,0,0,0,0,0,0,0,0,0,0
16-Oct-11,0,0,0,0,1,0,0,0,0,0,1
17-Oct-11,0,0,0,0,0,0,0,0,0,0,0
18-Oct-11,0,0,0,0,0,0,0,0,0,0,0
19-Oct-11,0,0,0,0,0,0,0,0,0,0,0
20-Oct-11,0,0,0,0,0,0,0,0,0,0,0
21-Oct-11,0,0,0,0,0,0,0,0,0,0,0
22-Oct-11,0,0,0,0,0,0,0,0,0,0,0
23-Oct-11,0,0,0,0,0,0,0,0,0,0,0
24-Oct-11,0,0,0,0,0,0,1,0,0,0,1
25-Oct-11,0,0,0,0,0,0,0,0,0,0,0
26-Oct-11,0,0,0,0,4,2,2,3,5,5,21
27-Oct-11,0,0,0,5,12,2,3,0,0,0,22
28-Oct-11,0,0,0,0,6,2,1,0,0,0,9
29-Oct-11,0,0,0,0,0,0,0,0,0,0,0
30-Oct-11,0,0,0,0,0,0,4,8,3,0,15
31-Oct-11,0,0,0,0,4,0,4,6,0,0,14
1-Nov-11,0,0,1,4,0,3,4,6,1,0,19
2-Nov-11,0,0,0,0,1,0,0,1,0,0,2
3-Nov-11,0,0,0,0,2,0,1,1,0,0,4
4-Nov-11,0,0,0,0,0,0,7,2,0,1,10
5-Nov-11,0,0,0,0,0,0,2,0,1,1,4
6-Nov-11,0,0,0,0,0,0,0,0,0,0,0
7-Nov-11,0,0,0,0,0,0,0,0,0,0,0
8-Nov-11,0,0,0,0,0,0,0,0,0,0,0
9-Nov-11,0,0,5,6,15,4,1,0,0,0,31
10-Nov-11,0,0,28,61,60,31,10,2,0,0,192
11-Nov-11,4,0,6,11,17,14,15,8,1,0,76
12-Nov-11,1,0,4,13,55,5,5,2,7,0,92
13-Nov-11,0,0,4,8,32,10,6,5,0,0,65
14-Nov-11,0,0,7,5,71,14,4,4,9,15,129
15-Nov-11,0,0,10,20,20,21,3,0,0,2,76
16-Nov-11,0,0,0,0,7,0,2,0,1,1,11
17-Nov-11,0,0,0,0,3,0,4,2,5,7,21
18-Nov-11,0,0,0,0,5,0,0,0,0,0,5
19-Nov-11,0,0,0,0,1,0,0,0,0,0,1
20-Nov-11,0,0,0,0,0,0,0,0,0,0,0
21-Nov-11,0,0,0,0,4,0,1,1,0,0,6
22-Nov-11,0,0,0,1,0,0,3,0,0,6,10
23-Nov-11,0,0,0,0,0,0,0,0,0,0,0
24-Nov-11,0,0,0,0,0,0,1,3,0,3,7
25-Nov-11,0,0,0,0,4,0,0,0,0,0,4
26-Nov-11,0,0,0,0,3,0,0,0,1,2,6
27-Nov-11,0,0,0,0,1,0,1,0,0,0,2
28-Nov-11,0,0,0,0,0,0,0,0,0,0,0
29-Nov-11,0,0,0,0,0,0,0,0,0,0,0
30-Nov-11,0,0,0,0,0,0,0,1,0,2,3
1-Dec-11,0,0,0,0,0,0,0,0,0,3,3
2-Dec-11,0,0,0,0,1,0,3,3,0,0,7
3-Dec-11,0,0,0,0,0,0,0,0,0,0,0
4-Dec-11,0,0,0,0,0,0,0,0,0,0,0
5-Dec-11,0,0,0,0,0,0,0,0,0,0,0
6-Dec-11,0,0,0,0,0,0,0,0,0,0,0
7-Dec-11,0,0,0,0,0,0,0,0,0,1,1
8-Dec-11,0,0,0,0,0,0,0,0,0,1,1
9-Dec-11,0,0,0,0,0,0,0,0,0,0,0
10-Dec-11,0,0,0,0,5,0,0,0,0,0,5
11-Dec-11,0,0,0,0,0,0,0,0,0,0,0
12-Dec-11,0,0,0,0,0,0,0,0,0,0,0
13-Dec-11,0,0,0,0,0,0,0,0,0,0,0
14-Dec-11,0,0,0,0,0,0,0,0,1,0,1
15-Dec-11,0,0,0,0,0,0,0,0,0,0,0
16-Dec-11,0,0,0,0,0,0,0,0,0,0,0
17-Dec-11,0,0,0,0,0,0,0,0,0,3,3
18-Dec-11,0,0,0,0,0,0,0,0,0,1,1
19-Dec-11,0,0,0,0,0,0,0,0,0,0,0
20-Dec-11,0,0,0,0,0,0,0,0,1,0,1
21-Dec-11,0,0,0,1,0,0,0,0,0,2,3
22-Dec-11,0,0,0,0,0,0,0,0,0,0,0
23-Dec-11,0,0,0,0,0,0,0,0,0,2,2
24-Dec-11,0,0,0,0,0,0,0,0,1,1,2
25-Dec-11,0,0,0,0,0,0,0,0,0,0,0
26-Dec-11,0,0,0,0,2,0,0,0,0,0,2
27-Dec-11,0,0,0,0,0,0,0,0,0,2,2
28-Dec-11,0,0,0,0,0,0,0,0,0,1,1
29-Dec-11,0,0,0,0,0,0,0,0,1,9,10
30-Dec-11,0,0,0,0,0,0,0,1,0,0,1
31-Dec-11,0,0,0,0,0,0,0,5,2,3,10
1-Jan-12,4,12,1,0,0,0,0,2,1,3,23
2-Jan-12,0,0,0,0,4,0,2,1,9,9,25
3-Jan-12,0,0,0,0,0,0,0,1,5,12,18
4-Jan-12,0,0,0,0,0,0,2,0,1,1,4
5-Jan-12,0,0,0,0,0,0,1,18,1,0,20
6-Jan-12,0,5,5,5,10,0,8,0,0,0,33
7-Jan-12,0,0,1,0,3,0,0,0,0,1,5
8-Jan-12,0,0,0,0,0,0,3,5,0,0,8
9-Jan-12,0,0,0,5,5,0,2,3,0,4,19
10-Jan-12,0,0,0,0,1,0,3,1,0,1,6
11-Jan-12,0,0,0,0,0,0,7,5,9,3,24
12-Jan-12,0,0,0,0,0,0,7,3,5,0,15
13-Jan-12,0,0,0,0,1,0,0,0,1,0,2
14-Jan-12,2,5,36,5,0,0,1,1,0,0,50
15-Jan-12,0,0,11,4,0,0,9,0,0,0,24
16-Jan-12,0,0,0,0,2,0,12,17,1,0,32
17-Jan-12,0,2,0,0,3,0,6,0,0,3,14
18-Jan-12,0,0,0,0,0,0,7,3,0,0,10
19-Jan-12,0,0,0,0,1,0,4,1,0,0,6
20-Jan-12,1,0,0,0,1,0,13,5,6,4,30
21-Jan-12,0,0,0,0,4,0,7,3,3,5,22
22-Jan-12,10,0,0,0,1,0,9,3,4,0,27
23-Jan-12,0,0,0,0,3,0,10,8,1,0,22
24-Jan-12,4,4,0,0,2,0,16,11,1,0,38
25-Jan-12,4,5,3,0,0,0,18,1,0,0,31
26-Jan-12,11,29,28,11,4,0,0,0,0,0,83
27-Jan-12,7,13,32,11,1,0,7,5,1,1,78
28-Jan-12,0,0,5,2,6,0,5,0,1,0,19
29-Jan-12,1,0,11,9,5,0,7,11,10,3,57
30-Jan-12,5,2,10,10,0,0,10,3,9,14,63
31-Jan-12,0,1,5,5,3,0,3,0,0,0,17
1-Feb-12,4,0,1,0,0,0,0,0,0,0,5
2-Feb-12,1,0,0,0,1,0,6,1,0,0,9
3-Feb-12,2,0,0,0,6,0,0,0,4,10,22
4-Feb-12,0,3,2,0,3,0,9,2,5,2,26
5-Feb-12,0,1,2,0,3,0,8,4,4,0,22
6-Feb-12,6,0,5,3,1,0,5,5,4,3,32
7-Feb-12,2,0,0,0,0,0,1,16,18,3,40
8-Feb-12,1,0,23,14,0,0,1,2,0,0,41
9-Feb-12,5,0,0,2,0,0,0,0,0,0,7
10-Feb-12,1,0,0,0,1,0,0,0,0,0,2
11-Feb-12,22,0,0,10,11,0,11,7,5,9,75
12-Feb-12,5,9,0,1,1,0,3,4,4,3,30
13-Feb-12,12,1,1,9,29,0,5,8,0,0,65
14-Feb-12,30,2,26,41,9,0,3,8,1,0,120
15-Feb-12,4,1,6,15,5,0,2,1,0,0,34
16-Feb-12,7,6,11,8,5,0,1,0,0,0,38
17-Feb-12,5,0,0,7,5,0,0,0,0,4,21
18-Feb-12,5,5,5,4,14,0,9,0,0,0,42
19-Feb-12,4,0,0,7,20,0,13,4,0,0,48
20-Feb-12,5,5,1,3,14,0,0,1,0,0,29
21-Feb-12,5,1,1,2,2,0,1,1,0,1,14
22-Feb-12,2,2,0,1,7,0,3,0,0,0,15
23-Feb-12,5,1,0,0,6,0,0,0,0,0,12
24-Feb-12,10,5,3,2,10,0,10,8,1,0,49
25-Feb-12,0,1,22,0,0,0,0,0,2,0,25
26-Feb-12,4,9,2,0,0,0,1,0,0,0,16
27-Feb-12,7,1,0,3,3,0,2,0,4,0,20
28-Feb-12,11,2,1,8,8,0,0,2,2,0,34
29-Feb-12,9,1,5,5,8,0,9,0,0,0,37
1-Mar-12,0,13,0,10,4,0,0,0,1,0,28
2-Mar-12,6,10,13,14,0,0,0,3,0,0,46
3-Mar-12,10,9,3,2,1,0,0,0,4,0,29
4-Mar-12,22,17,6,2,11,0,10,5,6,12,91
5-Mar-12,11,18,19,15,2,0,1,0,1,0,67
6-Mar-12,5,6,2,0,0,0,0,0,0,0,13
7-Mar-12,9,2,0,0,1,0,5,2,1,5,25
8-Mar-12,7,5,0,0,1,0,0,3,3,0,19
9-Mar-12,2,8,3,1,0,0,0,1,2,0,17
10-Mar-12,3,5,2,0,0,0,2,4,5,0,21
11-Mar-12,6,3,0,0,0,0,0,0,0,0,9
12-Mar-12,9,3,0,0,0,0,2,0,8,4,26
13-Mar-12,3,9,14,12,11,0,4,3,8,0,64
14-Mar-12,6,2,8,2,3,0,4,7,8,0,40
15-Mar-12,13,19,8,4,10,0,0,0,0,0,54
16-Mar-12,4,19,20,14,27,0,4,0,2,0,90
17-Mar-12,5,10,10,20,16,0,0,0,0,1,62
18-Mar-12,15,13,14,14,15,0,0,0,2,4,77
19-Mar-12,13,8,7,2,10,0,5,2,4,2,53
20-Mar-12,16,10,0,5,17,0,7,3,7,14,79
21-Mar-12,1,2,0,0,8,0,7,0,2,5,25
22-Mar-12,1,0,0,5,9,0,6,8,9,4,42
23-Mar-12,3,4,0,1,15,0,5,2,8,27,65
24-Mar-12,5,4,7,2,14,0,10,21,12,5,80
25-Mar-12,5,2,16,7,19,0,17,15,10,25,116
26-Mar-12,1,1,24,15,22,0,13,4,9,6,95
27-Mar-12,8,7,14,5,21,0,11,11,11,10,98
28-Mar-12,2,13,18,17,22,0,24,3,2,0,101
29-Mar-12,5,24,30,24,19,0,9,2,8,2,123
30-Mar-12,7,9,20,19,19,0,19,10,15,6,124
31-Mar-12,4,5,32,14,33,0,11,3,8,0,110
1-Apr-12,5,14,62,21,57,0,11,1,2,0,173
2-Apr-12,4,16,44,18,20,0,4,1,3,0,110
3-Apr-12,5,9,42,24,3,0,7,0,0,0,90
4-Apr-12,1,6,0,14,0,0,4,5,0,7,37
5-Apr-12,3,8,4,35,20,0,9,5,0,0,84
6-Apr-12,6,9,0,13,0,0,9,10,14,0,61
7-Apr-12,2,8,0,11,0,0,2,5,0,0,28
8-Apr-12,6,20,0,7,13,0,6,2,5,0,59
9-Apr-12,5,24,0,14,7,0,9,10,0,0,69
10-Apr-12,0,0,0,5,0,0,1,5,0,0,11
11-Apr-12,5,13,0,6,1,0,0,0,0,0,25
12-Apr-12,5,12,0,6,2,0,0,0,0,0,25
13-Apr-12,0,2,3,3,0,0,0,2,0,0,10
14-Apr-12,0,1,0,2,0,0,0,0,3,0,6
15-Apr-12,1,6,0,5,12,0,3,9,4,0,40
16-Apr-12,0,6,0,9,9,0,7,13,2,8,54
17-Apr-12,0,2,0,7,0,0,0,3,0,3,15
18-Apr-12,0,4,0,3,0,0,0,0,0,0,7
19-Apr-12,1,0,0,5,2,0,0,0,0,0,8
20-Apr-12,0,0,0,7,0,0,0,0,2,0,9
21-Apr-12,2,2,1,0,0,0,1,0,0,0,6
22-Apr-12,0,0,2,1,3,0,1,0,0,0,7
23-Apr-12,0,0,0,2,4,0,2,0,0,0,8
24-Apr-12,0,1,4,5,0,0,2,1,0,0,13
25-Apr-12,0,7,6,0,0,0,0,0,2,0,15
26-Apr-12,0,0,1,0,0,0,0,1,0,0,2
27-Apr-12,0,0,1,0,0,0,0,0,0,0,1
28-Apr-12,0,0,0,0,0,0,0,2,0,0,2
29-Apr-12,0,0,1,1,0,0,0,1,0,0,3
30-Apr-12,0,0,0,1,1,0,0,0,0,0,2
1-May-12,0,0,0,0,0,0,0,0,0,0,0
2-May-12,0,0,0,0,0,0,0,0,0,0,0
3-May-12,0,0,0,1,0,0,0,0,0,0,1
4-May-12,0,0,0,2,0,0,0,0,0,0,2
5-May-12,0,0,0,3,0,0,0,0,0,0,3
6-May-12,0,0,0,0,0,0,0,1,0,0,1
7-May-12,0,0,0,0,1,0,1,0,0,0,2
8-May-12,0,0,0,0,1,0,0,1,1,0,3
9-May-12,0,0,0,0,5,3,2,5,0,0,15
10-May-12,0,0,0,0,1,0,0,0,0,0,1
11-May-12,0,0,0,0,0,3,1,6,0,0,10
12-May-12,0,0,0,0,0,0,0,0,0,0,0
13-May-12,0,0,0,0,0,0,0,0,1,0,1
14-May-12,0,0,0,0,0,0,0,0,0,0,0
15-May-12,0,0,0,0,0,0,0,0,0,0,0
16-May-12,0,0,0,0,0,2,0,1,0,0,3
17-May-12,0,0,0,0,0,0,0,1,0,0,1
18-May-12,0,0,0,0,0,0,0,0,0,0,0
19-May-12,0,0,0,0,0,0,0,0,0,0,0
20-May-12,0,0,0,0,0,0,0,0,0,0,0
21-May-12,0,0,0,0,4,3,5,1,0,0,13
22-May-12,0,0,0,0,0,0,0,0,0,0,0
23-May-12,0,0,0,0,0,0,0,0,0,0,0
24-May-12,0,0,0,0,0,0,0,0,0,0,0
25-May-12,0,0,0,0,0,0,0,0,0,0,0
26-May-12,0,0,0,0,0,0,0,1,0,0,1
27-May-12,0,0,0,0,0,0,0,0,0,0,0
28-May-12,0,0,0,0,0,0,1,0,0,0,1
29-May-12,0,0,0,0,0,0,0,0,0,0,0
30-May-12,0,0,0,0,0,0,0,0,0,0,0
31-May-12,0,0,0,0,1,0,0,0,0,0,1
1-Jun-12,0,0,0,0,0,0,0,0,0,0,0
2-Jun-12,0,0,2,0,0,0,0,0,0,0,2
3-Jun-12,0,0,0,0,0,0,0,0,0,0,0
4-Jun-12,0,0,0,0,0,0,1,0,0,0,1
5-Jun-12,0,0,0,0,0,0,5,0,0,0,5
6-Jun-12,0,0,0,0,0,0,0,0,0,0,0
7-Jun-12,0,0,0,0,0,0,0,0,0,0,0
8-Jun-12,0,0,0,0,0,0,0,0,0,0,0
9-Jun-12,0,0,0,0,0,0,0,0,0,0,0
10-Jun-12,0,0,0,0,0,0,0,0,0,0,0
11-Jun-12,0,0,0,0,0,0,0,2,0,0,2
12-Jun-12,0,0,0,0,0,0,0,0,1,0,1
13-Jun-12,0,0,0,0,0,0,0,1,1,0,2
14-Jun-12,0,0,0,0,0,0,0,0,0,0,0
15-Jun-12,0,0,0,0,0,0,0,0,0,0,0
16-Jun-12,0,0,0,0,0,0,0,0,0,0,0
17-Jun-12,0,0,0,0,0,1,0,0,0,0,1
18-Jun-12,0,0,0,0,0,0,0,0,0,0,0
19-Jun-12,0,0,0,0,0,0,0,0,0,0,0
20-Jun-12,0,0,0,0,0,0,0,0,0,0,0
21-Jun-12,0,0,0,0,0,0,0,0,0,0,0
22-Jun-12,0,0,0,0,0,0,0,0,0,0,0
23-Jun-12,0,0,0,0,0,0,0,0,0,0,0
24-Jun-12,0,0,0,0,0,0,0,0,0,0,0
25-Jun-12,0,0,0,1,0,0,0,0,0,0,1
26-Jun-12,0,0,0,0,0,0,0,0,0,0,0
27-Jun-12,0,0,0,0,0,0,0,0,0,0,0
28-Jun-12,0,0,0,0,0,0,0,0,0,0,0
29-Jun-12,0,0,0,0,0,0,0,0,0,0,0
30-Jun-12,0,0,0,0,0,0,0,0,0,0,0
1-Jul-12,0,0,0,0,1,5,4,1,0,0,11
2-Jul-12,0,0,0,0,0,0,0,1,0,0,1
3-Jul-12,0,0,0,0,0,0,0,0,0,0,0
4-Jul-12,0,0,0,0,0,0,0,0,0,0,0
5-Jul-12,0,0,0,0,0,0,0,0,0,0,0
6-Jul-12,0,0,0,0,0,0,0,2,1,0,3
7-Jul-12,0,0,0,0,0,0,0,4,1,0,5
8-Jul-12,0,0,0,0,0,0,0,3,0,0,3
9-Jul-12,0,0,0,0,0,0,0,5,0,0,5
10-Jul-12,0,0,0,0,0,1,0,1,1,0,3
11-Jul-12,0,0,0,0,0,3,0,0,4,0,7
12-Jul-12,0,0,0,0,0,0,0,0,0,0,0
13-Jul-12,0,0,0,0,0,0,0,10,6,0,16
14-Jul-12,0,0,0,0,0,0,0,0,0,0,0
15-Jul-12,0,0,0,0,0,0,0,0,0,0,0
16-Jul-12,0,0,0,0,0,0,0,0,0,0,0
17-Jul-12,0,0,0,0,0,0,0,0,0,0,0
18-Jul-12,0,0,0,0,0,0,0,0,0,0,0
19-Jul-12,0,0,0,0,0,0,1,3,0,0,4
20-Jul-12,0,0,0,0,0,0,0,0,0,0,0
21-Jul-12,0,0,0,0,0,2,15,4,0,0,21
22-Jul-12,0,0,0,0,0,7,4,3,0,0,14
23-Jul-12,0,0,2,1,0,0,0,0,0,0,3
24-Jul-12,0,0,0,0,0,0,0,0,0,0,0
25-Jul-12,0,0,0,0,0,0,0,0,0,0,0
26-Jul-12,0,0,0,0,0,0,0,0,0,0,0
27-Jul-12,0,0,0,0,0,0,0,0,0,0,0
28-Jul-12,0,0,0,0,0,0,0,0,0,0,0
29-Jul-12,0,1,2,2,2,2,0,0,0,0,9
30-Jul-12,0,0,0,0,0,0,0,0,0,0,0
31-Jul-12,0,0,0,0,0,0,0,0,0,0,0
1-Aug-12,0,0,0,0,2,1,0,0,0,0,3
2-Aug-12,0,0,0,0,0,0,1,0,0,0,1
3-Aug-12,0,0,0,0,0,0,0,0,0,0,0
4-Aug-12,0,0,0,0,0,0,0,0,0,0,0
5-Aug-12,0,0,2,0,0,0,1,0,0,0,3
6-Aug-12,0,0,4,0,0,0,0,0,0,0,4
7-Aug-12,0,0,1,1,0,0,0,0,1,0,3
8-Aug-12,0,0,0,0,3,6,0,0,0,0,9
9-Aug-12,0,0,0,0,5,0,0,0,0,0,5
10-Aug-12,0,0,0,0,1,1,0,0,0,0,2
11-Aug-12,0,0,0,0,0,0,1,0,0,0,1
12-Aug-12,0,0,0,0,0,0,0,0,0,0,0
13-Aug-12,0,1,2,1,1,0,0,0,0,0,5
14-Aug-12,0,1,1,2,1,0,0,0,0,0,5
15-Aug-12,0,0,1,4,2,0,1,0,0,0,8
16-Aug-12,0,0,0,0,0,0,1,0,0,0,1
17-Aug-12,0,0,0,0,0,0,0,0,0,0,0
18-Aug-12,0,0,0,0,0,0,0,0,0,0,0
