MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
413159000,2018-03-17 17:50:11,42.29584,-70.22336,9.8,94.6,93,XIN OU ZHOU,IMO9337913,BPKB,70,0,334,42,14.7,70,A
413159000,2018-03-17 17:49:01,42.29609,-70.2276,9.6,95.3,92,XIN OU ZHOU,IMO9337913,BPKB,70,0,334,42,14.7,70,A
413159000,2018-03-17 17:47:51,42.29638,-70.23177,9.6,96.6,93,XIN OU ZHOU,IMO9337913,BPKB,70,0,334,42,14.7,70,A
413159000,2018-03-17 17:46:42,42.29677,-70.23591,9.7,97.9,95,XIN OU ZHOU,IMO9337913,BPKB,70,0,334,42,14.7,70,A
413159000,2018-03-17 17:45:32,42.29717,-70.24017,9.8,98.2,97,XIN OU ZHOU,IMO9337913,BPKB,70,0,334,42,14.7,70,A
413159000,2018-03-17 17:44:20,42.29766,-70.24441,9.7,97.6,98,XIN OU ZHOU,IMO9337913,BPKB,70,0,334,42,14.7,70,A
413159000,2018-03-17 17:43:11,42.29804,-70.24854,9.7,96.2,97,XIN OU ZHOU,IMO9337913,BPKB,70,0,334,42,14.7,70,A
413159000,2018-03-17 17:42:01,42.29832,-70.25284,9.8,94.1,95,XIN OU ZHOU,IMO9337913,BPKB,70,0,334,42,14.7,70,A
413159000,2018-03-17 17:40:50,42.2985,-70.25717,9.7,92.7,93,XIN OU ZHOU,IMO9337913,BPKB,70,0,334,42,14.7,70,A
413159000,2018-03-16 12:22:40,42.34167,-70.25633,9.6,274.6,278,XIN OU ZHOU,IMO9337913,BPKB,70,0,334,42,14.7,70,A
413159000,2018-03-16 12:21:31,42.34143,-70.25218,9.6,274.3,278,XIN OU ZHOU,IMO9337913,BPKB,70,0,334,42,14.7,70,A
413159000,2018-03-16 12:20:20,42.34117,-70.248,9.7,275.8,278,XIN OU ZHOU,IMO9337913,BPKB,70,0,334,42,14.7,70,A
413159000,2018-03-16 12:19:00,42.34077,-70.24321,9.6,274.4,278,XIN OU ZHOU,IMO9337913,BPKB,70,0,334,42,14.7,70,A
413159000,2018-03-16 12:17:51,42.34058,-70.23902,9.6,273.4,277,XIN OU ZHOU,IMO9337913,BPKB,70,0,334,42,14.7,70,A
413159000,2018-03-16 12:16:30,42.34035,-70.23418,9.6,274.1,277,XIN OU ZHOU,IMO9337913,BPKB,70,0,334,42,14.7,70,A
413159000,2018-03-16 12:15:20,42.34014,-70.23007,9.7,276.1,278,XIN OU ZHOU,IMO9337913,BPKB,70,0,334,42,14.7,70,A
413159000,2018-03-16 12:14:11,42.3398,-70.22593,9.4,275.1,278,XIN OU ZHOU,IMO9337913,BPKB,70,0,334,42,14.7,70,A
413159000,2018-03-16 12:13:00,42.33951,-70.22176,9.4,276.3,279,XIN OU ZHOU,IMO9337913,BPKB,70,0,334,42,14.7,70,A
413159000,2018-03-16 12:11:51,42.33925,-70.21763,9.5,274.6,279,XIN OU ZHOU,IMO9337913,BPKB,70,0,334,42,14.7,70,A
413159000,2018-03-16 12:10:41,42.33905,-70.21348,9.5,272.8,278,XIN OU ZHOU,IMO9337913,BPKB,70,0,334,42,14.7,70,A
413159000,2018-03-16 12:09:30,42.339,-70.20933,9.5,271.2,277,XIN OU ZHOU,IMO9337913,BPKB,70,0,334,42,14.7,70,A
413159000,2018-03-16 12:08:20,42.33894,-70.20514,9.6,273,276,XIN OU ZHOU,IMO9337913,BPKB,70,0,334,42,14.7,70,A
413159000,2018-03-16 12:07:11,42.33869,-70.2009,9.6,276.9,278,XIN OU ZHOU,IMO9337913,BPKB,70,0,334,42,14.7,70,A
413159000,2018-03-16 12:06:01,42.3383,-70.19677,9.6,277,279,XIN OU ZHOU,IMO9337913,BPKB,70,0,334,42,14.7,70,A
413159000,2018-03-16 12:04:50,42.33797,-70.19255,9.6,274.7,279,XIN OU ZHOU,IMO9337913,BPKB,70,0,334,42,14.7,70,A
538004370,2018-03-17 10:33:33,42.34053,-70.25837,9.7,275,276,FRIEDERIKE,IMO9436769,V7WQ9,70,0,190,32,13,79,A
538004370,2018-03-17 10:32:23,42.34022,-70.25412,9.6,275,278,FRIEDERIKE,IMO9436769,V7WQ9,70,0,190,32,13,79,A
538004370,2018-03-17 10:31:03,42.33993,-70.24928,9.7,271,276,FRIEDERIKE,IMO9436769,V7WQ9,70,0,190,32,13,79,A
538004370,2018-03-17 10:29:54,42.33978,-70.24502,9.7,274,276,FRIEDERIKE,IMO9436769,V7WQ9,70,0,190,32,13,79,A
