MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
258749000,2021-03-15 1:49:02,42.34104,-70.18844,9.3,278.2,284,THELMA VICTORY,IMO9258612,LAYA7,80,0,182,32,,22,A
258749000,2021-03-15 1:50:12,42.34142,-70.19251,9.3,279.6,285,THELMA VICTORY,IMO9258612,LAYA7,80,0,182,32,,22,A
258749000,2021-03-15 1:51:33,42.34186,-70.19727,9.3,278.4,285,THELMA VICTORY,IMO9258612,LAYA7,80,0,182,32,,22,A
258749000,2021-03-15 1:53:12,42.34248,-70.20297,9.3,277.6,283,THELMA VICTORY,IMO9258612,LAYA7,80,0,182,32,,22,A
258749000,2021-03-15 1:54:33,42.34292,-70.20767,9.4,278,283,THELMA VICTORY,IMO9258612,LAYA7,80,0,182,32,,22,A
258749000,2021-03-15 1:55:42,42.34324,-70.21169,9.6,275.2,283,THELMA VICTORY,IMO9258612,LAYA7,80,0,182,32,,22,A
258749000,2021-03-15 1:57:12,42.34365,-70.21705,9.5,276.8,282,THELMA VICTORY,IMO9258612,LAYA7,80,0,182,32,,22,A
258749000,2021-03-15 1:58:23,42.34402,-70.22126,9.6,274.8,284,THELMA VICTORY,IMO9258612,LAYA7,80,0,182,32,,22,A
258749000,2021-03-15 1:59:33,42.3444,-70.22538,9.8,275.9,282,THELMA VICTORY,IMO9258612,LAYA7,80,0,182,32,,22,A
258749000,2021-03-15 2:00:02,42.34455,-70.22715,9.8,276.5,282,THELMA VICTORY,IMO9258612,LAYA7,80,0,182,32,,22,A
258749000,2021-03-15 2:01:12,42.34489,-70.23141,9.6,277.7,283,THELMA VICTORY,IMO9258612,LAYA7,80,0,182,32,,22,A
258749000,2021-03-15 2:02:23,42.3452,-70.2356,9.6,276.8,282,THELMA VICTORY,IMO9258612,LAYA7,80,0,182,32,,22,A
258749000,2021-03-15 2:03:32,42.34554,-70.23984,9.8,276,282,THELMA VICTORY,IMO9258612,LAYA7,80,0,182,32,,22,A
258749000,2021-03-15 2:04:43,42.34574,-70.24411,9.3,272.5,282,THELMA VICTORY,IMO9258612,LAYA7,80,0,182,32,,22,A
258749000,2021-03-15 2:05:44,42.34596,-70.24756,9.2,276,284,THELMA VICTORY,IMO9258612,LAYA7,80,0,182,32,,22,A
258749000,2021-03-15 2:06:53,42.34635,-70.25156,9.5,278.3,284,THELMA VICTORY,IMO9258612,LAYA7,80,0,182,32,,22,A
258749000,2021-03-15 2:08:03,42.34673,-70.25576,9.6,273.4,282,THELMA VICTORY,IMO9258612,LAYA7,80,0,182,32,,22,A
258749000,2021-03-15 2:09:12,42.34695,-70.2599,9.6,273.2,282,THELMA VICTORY,IMO9258612,LAYA7,80,0,182,32,,22,A
