MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
309253000,2020-03-16 22:15:01,42.29271,-70.24207,8.9,97,96,GRACEFUL LEADER,IMO9357303,C6VT7,70,0,199,32,10,70,A
309253000,2020-03-16 22:13:52,42.29306,-70.2459,8.9,96.8,96,GRACEFUL LEADER,IMO9357303,C6VT7,70,0,199,32,10,70,A
309253000,2020-03-16 22:12:42,42.29339,-70.24972,8.9,95.7,96,GRACEFUL LEADER,IMO9357303,C6VT7,70,0,199,32,10,70,A
309253000,2020-03-16 22:11:30,42.29368,-70.25371,8.9,95.7,95,GRACEFUL LEADER,IMO9357303,C6VT7,70,0,199,32,10,70,A
309253000,2020-03-16 22:10:20,42.29399,-70.25759,9,96.3,95,GRACEFUL LEADER,IMO9357303,C6VT7,70,0,199,32,10,70,A
367608380,2020-03-16 4:23:02,42.32786,-70.25926,7,259.8,511,PADRE PIO,,WDH3543,30,,19,5,,,B
367608380,2020-03-16 4:21:34,42.328,-70.25534,6.6,269.5,511,PADRE PIO,,WDH3543,30,,19,5,,,B
367608380,2020-03-16 4:20:32,42.32803,-70.25262,7.4,266.9,511,PADRE PIO,,WDH3543,30,,19,5,,,B
367608380,2020-03-16 4:18:33,42.32788,-70.24737,7.2,273.7,511,PADRE PIO,,WDH3543,30,,19,5,,,B
367608380,2020-03-16 4:17:01,42.32765,-70.24333,7.3,275.7,511,PADRE PIO,,WDH3543,30,,19,5,,,B
367608380,2020-03-16 4:14:31,42.32727,-70.23674,7.2,271.6,511,PADRE PIO,,WDH3543,30,,19,5,,,B
367608380,2020-03-16 4:13:03,42.32709,-70.23285,7,273.9,511,PADRE PIO,,WDH3543,30,,19,5,,,B
367608380,2020-03-16 4:11:33,42.3269,-70.22888,7.1,272.8,511,PADRE PIO,,WDH3543,30,,19,5,,,B
367608380,2020-03-16 4:10:01,42.32672,-70.22482,7,273.8,511,PADRE PIO,,WDH3543,30,,19,5,,,B
367608380,2020-03-16 4:07:31,42.3264,-70.21824,7,273.4,511,PADRE PIO,,WDH3543,30,,19,5,,,B
367608380,2020-03-16 4:05:31,42.32614,-70.21302,7.1,276.2,511,PADRE PIO,,WDH3543,30,,19,5,,,B
367608380,2020-03-16 4:04:02,42.32598,-70.20916,7,275.8,511,PADRE PIO,,WDH3543,30,,19,5,,,B
367608380,2020-03-16 4:02:01,42.32569,-70.20392,6.7,275.9,511,PADRE PIO,,WDH3543,30,,19,5,,,B
367608380,2020-03-16 4:00:02,42.32544,-70.19882,6.4,274.7,511,PADRE PIO,,WDH3543,30,,19,5,,,B
565150000,2020-03-14 23:36:46,42.29299,-70.20673,10,95.6,93,VIKING CONSTANZA,IMO9407689,9V7984,70,0,139,22,6.1,,A
565150000,2020-03-14 23:35:35,42.29331,-70.21117,10,96.8,92,VIKING CONSTANZA,IMO9407689,9V7984,70,0,139,22,6.1,,A
565150000,2020-03-14 23:34:25,42.29368,-70.21547,10,95.6,93,VIKING CONSTANZA,IMO9407689,9V7984,70,0,139,22,6.1,,A
565150000,2020-03-14 23:33:16,42.29399,-70.21983,10,96.4,92,VIKING CONSTANZA,IMO9407689,9V7984,70,0,139,22,6.1,,A
565150000,2020-03-14 23:32:14,42.29431,-70.22362,9.9,95.6,93,VIKING CONSTANZA,IMO9407689,9V7984,70,0,139,22,6.1,,A
565150000,2020-03-14 23:31:05,42.2946,-70.22789,9.9,96,92,VIKING CONSTANZA,IMO9407689,9V7984,70,0,139,22,6.1,,A
565150000,2020-03-14 23:29:56,42.29494,-70.23231,10,95.9,93,VIKING CONSTANZA,IMO9407689,9V7984,70,0,139,22,6.1,,A
565150000,2020-03-14 23:28:45,42.29531,-70.23669,10,95.9,94,VIKING CONSTANZA,IMO9407689,9V7984,70,0,139,22,6.1,,A
565150000,2020-03-14 23:27:36,42.29563,-70.241,10,96.5,93,VIKING CONSTANZA,IMO9407689,9V7984,70,0,139,22,6.1,,A
565150000,2020-03-14 23:26:26,42.29596,-70.24535,10,94.6,92,VIKING CONSTANZA,IMO9407689,9V7984,70,0,139,22,6.1,,A
565150000,2020-03-14 23:25:15,42.29628,-70.24975,10.1,96,93,VIKING CONSTANZA,IMO9407689,9V7984,70,0,139,22,6.1,,A
565150000,2020-03-14 23:24:06,42.29661,-70.25408,10.2,95,93,VIKING CONSTANZA,IMO9407689,9V7984,70,0,139,22,6.1,,A
565150000,2020-03-14 23:22:56,42.29687,-70.25851,10.2,95.1,92,VIKING CONSTANZA,IMO9407689,9V7984,70,0,139,22,6.1,,A
241311000,2020-03-15 9:30:45,42.29297,-70.21206,9.4,98.1,91,EXPRESS BERLIN,IMO9484924,SVBY4,70,0,349,45,15.5,,A
241311000,2020-03-15 9:29:34,42.29346,-70.21614,9.5,99.6,93,EXPRESS BERLIN,IMO9484924,SVBY4,70,0,349,45,15.5,,A
241311000,2020-03-15 9:28:24,42.29398,-70.22029,9.4,99.6,94,EXPRESS BERLIN,IMO9484924,SVBY4,70,0,349,45,15.5,,A
